A400001;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΣΙΕΛΟΓΟΝΟΥΣ ΑΔΕΝΕΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ
X659157.6;ΑΠΟΚΑΤΑΣΤΑΣΗ ΔΙΑΦΡΑΓΜΑΤΟΣ ΓΙΑ ΠΡΟΠΤΩΣΗ ΣΠΛΑΧΝΩΝ ΔΙΑ ΤΡΗΜΑΤΟΣ Η ΕΛΛΕΙΜΜΑΤΟΣ ΤΟΥ ΔΙΑΦΡΑΓΜΑΤΟΣ, ΘΩΡΑΚΟΣΚΟΠΙΚΗ ΠΡΟΣΠΕΛΑΣΗ
X659157.7;ΠΤΥΧΩΣΗ ΗΜΙΔΙΑΦΡΑΓΜΑΤΟΣ, ΠΑΡΑΛΥΣΗ ΔΙΑΦΡΑΓΜΑΤΟΣ, ΣΥΓΓΕΝΗΣ Η ΕΠΙΚΤΗΤΗ, ΔΙΑΘΩΡΑΚΙΚΗ
X659157.8;ΠΤΥΧΩΣΗ ΗΜΙΔΙΑΦΡΑΓΜΑΤΟΣ, ΠΑΡΑΛΥΣΗ ΔΙΑΦΡΑΓΜΑΤΟΣ, ΣΥΓΓΕΝΗΣ Η ΕΠΙΚΤΗΤΗ, ΘΩΡΑΚΟΣΚΟΠΙΚΗ
X659157.9; ΑΠΟΚΑΤΑΣΤΑΣΗ ΡΗΞΗΣ ΤΟΥ ΔΙΑΦΡΑΓΜΑΤΟΣ, ΘΩΡΑΚΟΣΚΟΠΙΚΗ ΠΡΟΣΠΕΛΑΣΗ, ΜΕ Η ΧΩΡΙΣ ΤΟΠΟΘΕΤΗΣΗ ΣΥΝΘΕΤΙΚΟΥ ΠΛΕΓΜΑΤΟΣ
X660939;ΒΙΟΨΙΑ ΧΕΙΛΟΥΣ
X660959;ΕΚΤΟΜΗ ΕΡΥΘΡΟΥ ΧΕΙΛΟΥΣ (ΑΦΑΙΡΕΣΗ ΧΕΙΛΟΥΣ), ΜΕ ΠΡΟΑΓΩΓΗ ΒΛΕΝΝΟΓΟΝΟΥ
X660979;ΕΚΤΟΜΗ ΧΕΙΛΟΥΣ, ΕΓΚΑΡΣΙΑ ΣΦΗΝΟΕΙΔΗΣ ΕΚΤΟΜΗ ΜΕ ΠΡΩΤΟΓΕΝΗ ΣΥΡΡΑΦΗ
X660999;"ΕΚΤΟΜΗ ΧΕΙΛΟΥΣ; ΕΚΤΟΜΗ-V ΜΕ ΠΡΩΤΟΓΕΝΗ ΑΜΕΣΗ ΓΡΑΜΜΙΚΗ ΣΥΡΡΑΦΗ"
X661009;ΕΚΤΟΜΗ ΧΕΙΛΟΥΣ, ΠΛΗΡΕΣ ΠΑΧΟΣ, ΑΝΑΠΛΑΣΗ ΜΕ ΤΟΠΙΚΟ ΚΡΗΜΝΟ (Π.Χ., ΕΠΕΜΒΑΣΗ  ESTLANDER Ή ΕΛΙΚΟΕΙΔΗΣ)
X661013;ΕΚΤΟΜΗ ΤΟΥ ΧΕΙΛΟΥΣ, ΠΛΗΡΕΣ ΠΑΧΟΣ, ΑΝΑΠΛΑΣΗ ΜΕ ΚΡΗΜΝΟ ΧΕΙΛΟΥΣ (ΤΥΠΟΥ ABBE-ESTLANDER)
X661019;ΕΚΤΟΜΗ ΧΕΙΛΟΥΣ, ΜΕΓΑΛΥΤΕΡΗ ΤΟΥ ΕΝΟΣ ΤΕΤΑΡΤΟΥ, ΧΩΡΙΣ ΑΠΟΚΑΤΑΣΤΑΣΗ
X661259;"ΑΠΟΚΑΤΑΣΤΑΣΗ ΧΕΙΛΟΥΣ, ΠΛΗΡΕΣ ΠΑΧΟΣ; ΕΡΥΘΡΟ ΧΕΙΛΟΣ ΜΟΝΟ"
X661263;"ΑΠΟΚΑΤΑΣΤΑΣΗ ΧΕΙΛΟΥΣ, ΠΛΗΡΕΣ ΠΑΧΟΣ; ΕΩΣ ΤΟ ΜΙΣΟ ΤΟΥ ΚΑΘΕΤΟΥ ΥΨΟΥΣ"
X661267;"ΑΠΟΚΑΤΑΣΤΑΣΗ ΧΕΙΛΟΥΣ, ΠΛΗΡΕΣ ΠΑΧΟΣ; ΠΕΡΑΝ ΤΟΥ ΜΙΣΟΥ ΚΑΘΕΤΟΥ ΥΨΟΥΣ, Ή ΣΥΝΘΕΤΗ"
X661359;ΠΛΑΣΤΙΚΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΧΕΙΛΕΟΣΧΙΣΤΙΑΣ/ΡΙΝΙΚΗΣ ΔΥΣΠΛΑΣΙΑΣ, ΠΡΩΤΟΓΕΝΗΣ, ΜΕΡΙΚΗ Ή ΠΛΗΡΗΣ, ΕΤΕΡΟΠΛΕΥΡΗ
X661361;"ΠΛΑΣΤΙΚΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΧΕΙΛΕΟΣΧΙΣΤΙΑΣ/ΡΙΝΙΚΗΣ ΔΥΣΠΛΑΣΙΑΣ; ΠΡΩΤΟΓΕΝΗΣ ΑΜΦΙΠΛΕΥΡΗ, ΔΙΑΔΙΚΑΣΙΑ ΕΝΟΣ ΣΤΑΔΙΟΥ"
X661363;"ΠΛΑΣΤΙΚΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΧΕΙΛΕΟΣΧΙΣΤΙΑΣ/ΡΙΝΙΚΗΣ ΔΥΣΠΛΑΣΙΑΣ; ΠΡΩΤΟΓΕΝΗΣ ΑΜΦΙΠΛΕΥΡΗ, ΕΝΑ ΑΠΟ ΔΥΟ ΣΤΑΔΙΑ"
X661399;ΠΛΑΣΤΙΚΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΧΕΙΛΕΟΣΧΙΣΤΙΑΣ/ΡΙΝΙΚΗΣ ΔΥΣΠΛΑΣΙΑΣ, ΔΕΥΤΕΡΟΓΕΝΗΣ, ΜΕΣΩ ΑΝΑΔΗΜΙΟΥΡΓΙΑΣ ΤΟΥ  ΕΛΑΤΤΩΜΑΤΟΣ ΚΑΙ ΕΠΑΝΑΣΥΡΡΑΦΗΣ
X661481;"ΠΛΑΣΤΙΚΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΧΕΙΛΕΟΣΧΙΣΤΙΑΣ/ΡΙΝΙΚΗΣ ΔΥΣΠΛΑΣΙΑΣ; ΜΕ ΜΙΣΧΩΤΟ ΚΡΗΜΝΟ ΑΛΛΑΓΗΣ ΧΕΙΛΟΥΣ (ΤΥΠΟΥ ABBE-ESTLANDER), ΠΟΥ ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΜΗΜΑΤΟΠΟΙΗΣΗ ΚΑΙ ΕΙΣΑΓΩΓΗ ΜΙΣΧΟΥ"
X661557;ΜΗ ΚΑΤΑΓΕΓΡΑΜΜΕΝΗ ΔΙΑΔΙΚΑΣΙΑ, ΧΕΙΛΗ
X661559;"ΠΑΡΟΧΕΤΕΥΣΗ ΑΠΟΣΤΗΜΑΤΟΣ, ΚΥΣΤΗΣ, ΑΙΜΑΤΩΜΑΤΟΣ, ΠΡΟΣΤΟΜΙΟ; ΑΠΛΗ"
X661561;"ΠΑΡΟΧΕΤΕΥΣΗ ΑΠΟΣΤΗΜΑΤΟΣ, ΚΥΣΤΗΣ, ΑΙΜΑΤΩΜΑΤΟΣ, ΠΡΟΣΤΟΜΙΟ; ΣΥΝΘΕΤΗ"
X661567;"ΑΦΑΙΡΕΣΗ ΕΓΚΛΕΙΣΜΕΝΟΥ ΞΕΝΟΥ ΣΩΜΑΤΟΣ, ΠΡΟΣΤΟΜΙΟ; ΑΠΛΗ"
X661569;ΑΦΑΙΡΕΣΗ ΕΓΚΛΕΙΣΜΕΝΟΥ ΞΕΝΟΥ ΣΩΜΑΤΟΣ, ΠΡΟΣΤΟΜΙΟ, ΣΥΝΘΕΤΗ
X661571;ΔΙΑΤΟΜΗ ΧΕΙΛΙΚΟΥ ΧΑΛΙΝΟΥ (ΧΑΛΙΝΕΚΤΟΜΗ)
X661575;ΒΙΟΨΙΑ, ΠΡΟΣΤΟΜΙΟ
X661579;"ΕΚΤΟΜΗ ΒΛΑΒΗΣ ΒΛΕΝΝΟΓΟΝΟΥ ΚΑΙ ΥΠΟΒΛΕΝΝΟΓΟΝΙΟΥ, ΠΡΟΣΤΟΜΙΟ; ΧΩΡΙΣ ΑΠΟΚΑΤΑΣΤΑΣΗ"
X661583;"ΕΚΤΟΜΗ ΒΛΑΒΗΣ ΒΛΕΝΝΟΓΟΝΟΥ ΚΑΙ ΥΠΟΒΛΕΝΝΟΓΟΝΙΟΥ, ΠΡΟΣΤΟΜΙΟ; ΜΕ ΑΠΛΗ ΑΠΟΚΑΤΑΣΤΑΣΗ"
X661587;"ΕΚΤΟΜΗ ΒΛΑΒΗΣ ΒΛΕΝΝΟΓΟΝΟΥ ΚΑΙ ΥΠΟΒΛΕΝΝΟΓΟΝΙΟΥ, ΠΡΟΣΤΟΜΙΟ; ΜΕ ΣΥΝΘΕΤΗ ΑΠΟΚΑΤΑΣΤΑΣΗ"
X661591;"ΕΚΤΟΜΗ ΒΛΑΒΗΣ ΒΛΕΝΝΟΓΟΝΟΥ ΚΑΙ ΥΠΟΒΛΕΝΝΟΓΟΝΙΟΥ, ΠΡΟΣΤΟΜΙΟ; ΣΥΝΘΕΤΗ, ΜΕ ΕΚΤΟΜΗ ΤΟΥ ΥΠΟΚΕΙΜΕΝΟΥ ΜΥΟΣ"
X661595;ΕΚΤΟΜΗ ΒΛΕΝΝΟΓΟΝΟΥ ΠΡΟΣΤΟΜΙΟΥ ΩΣ ΜΟΣΧΕΥΜΑ-ΔΟΤΗ
X661597;ΕΚΤΟΜΗ ΤΟΥ ΧΑΛΙΝΟΥ, ΧΕΙΛΙΚΗ Ή ΠΑΡΕΙΑΚΗ (ΧΑΛΙΝΕΚΤΟΜΗ ΤΥΠΟΥ 1, 2 ΚΑΙ 3)
X661599;ΚΑΤΑΣΤΡΟΦΗ ΒΛΑΒΗΣ Ή ΟΥΛΗΣ ΤΟΥ ΠΡΟΣΤΟΜΙΟΥ ΜΕ ΦΥΣΙΚΕΣ ΜΕΘΟΔΟΥΣ (Π.Χ., ΛΕΪΖΕΡ, ΘΕΡΜΙΚΗ, ΨΥΞΗ, ΧΗΜΙΚΗ)
X661619;"ΣΥΡΡΑΦΗ ΠΛΗΓΗΣ, ΠΡΟΣΤΟΜΙΟ; 2,5 ΕΚ. Ή ΛΙΓΟΤΕΡΟ"
X661621;"ΣΥΡΡΑΦΗ ΠΛΗΓΗΣ, ΠΡΟΣΤΟΜΙΟ; ΠΕΡΑΝ ΤΩΝ 2,5 ΕΚ. Ή ΣΥΝΘΕΤΗ"
X661639;ΠΛΑΣΤΙΚΗ ΠΡΟΣΤΟΜΙΟΥ, ΠΡΟΣΘΙΑ
X661643;ΠΛΑΣΤΙΚΗ ΠΡΟΣΤΟΜΙΟΥ, ΟΠΙΣΘΙΑ, ΕΤΕΡΟΠΛΕΥΡΗ
X661645;ΠΛΑΣΤΙΚΗ ΠΡΟΣΤΟΜΙΟΥ, ΟΠΙΣΘΙΑ, ΑΜΦΟΤΕΡΟΠΛΕΥΡΗ
X661647;ΠΛΑΣΤΙΚΗ ΠΡΟΣΤΟΜΙΟΥ, ΟΛΟΚΛΗΡΟ ΤΟ ΤΟΞΟ
X661649;ΠΛΑΣΤΙΚΗ ΠΡΟΣΤΟΜΙΟΥ, ΣΥΝΘΕΤΗ (ΠΟΥ ΠΕΡΙΛΑΜΒΑΝΕΙ ΕΠΕΚΤΑΣΗ ΤΗΣ ΑΚΡΟΛΟΦΙΑΣ, ΜΥΪΚΗ ΑΝΑΤΟΠΟΘΕΤΗΣΗ)
X661757;ΜΗ ΚΑΤΑΓΕΓΡΑΜΜΕΝΗ ΔΙΑΔΙΚΑΣΙΑ, ΠΡΟΣΤΟΜΙΟ
X661959;"ΕΝΔΟΣΤΟΜΑΤΙΚΗ ΕΝΤΟΜΗ ΚΑΙ ΠΑΡΟΧΕΤΕΥΣΗ ΑΠΟΣΤΗΜΑΤΟΣ, ΚΥΣΤΗΣ, Ή ΑΙΜΑΤΩΜΑΤΟΣ ΓΛΩΣΣΑΣ Ή ΕΔΑΦΟΥΣ ΤΟΥ ΣΤΟΜΑΤΟΣ; ΓΛΩΣΣΙΚΗ"
X661969;"ΕΝΔΟΣΤΟΜΑΤΙΚΗ ΕΝΤΟΜΗ ΚΑΙ ΠΑΡΟΧΕΤΕΥΣΗ ΑΠΟΣΤΗΜΑΤΟΣ, ΚΥΣΤΗΣ, Ή ΑΙΜΑΤΩΜΑΤΟΣ ΓΛΩΣΣΑΣ Ή ΕΔΑΦΟΥΣ ΤΟΥ ΣΤΟΜΑΤΟΣ; ΥΠΟΓΛΩΣΣΙΑ, ΕΠΙΦΑΝΕΙΑΚΗ"
X661971;ΕΝΔΟΣΤΟΜΑΤΙΚΗ ΕΝΤΟΜΗ ΚΑΙ ΠΑΡΟΧΕΤΕΥΣΗ ΑΠΟΣΤΗΜΑΤΟΣ, ΚΥΣΤΗΣ,Ή ΑΙΜΑΤΩΜΑΤΟΣ ΓΛΩΣΣΑΣ Ή ΕΔΑΦΟΥΣ ΤΟΥ ΣΤΟΜΑΤΟΣ, ΥΠΟΓΛΩΣΣΙΑ, ΕΝ ΤΩ ΒΑΘΕΙ, ΥΠΕΡΜΥΛΟΫΟΕΙΔΗΣ
X661973;ΕΝΔΟΣΤΟΜΑΤΙΚΗ ΕΝΤΟΜΗ ΚΑΙ ΠΑΡΟΧΕΤΕΥΣΗ ΑΠΟΣΤΗΜΑΤΟΣ, ΚΥΣΤΗΣ,Ή ΑΙΜΑΤΩΜΑΤΟΣ ΓΛΩΣΣΑΣ Ή  ΕΔΑΦΟΥΣ ΤΟΥ ΣΤΟΜΑΤΟΣ, ΥΠΟΓΕΝΕΙΑΚΟΣ ΧΩΡΟΣ
X661975;ΕΝΔΟΣΤΟΜΑΤΙΚΗ ΕΝΤΟΜΗ ΚΑΙ ΠΑΡΟΧΕΤΕΥΣΗ ΑΠΟΣΤΗΜΑΤΟΣ, ΚΥΣΤΗΣ,Ή ΑΙΜΑΤΩΜΑΤΟΣ ΤΗΣ ΓΛΩΣΣΑΣ Ή ΕΔΑΦΟΥΣ ΤΟΥ ΣΤΟΜΑΤΟΣ, ΥΠΟΓΝΑΘΙΟΣ ΧΩΡΟΣ
X661977;"ΕΝΔΟΣΤΟΜΑΤΙΚΗ ΕΝΤΟΜΗ ΚΑΙ ΠΑΡΟΧΕΤΕΥΣΗ ΑΠΟΣΤΗΜΑΤΟΣ, ΚΥΣΤΗΣ, Ή ΑΙΜΑΤΩΜΑΤΟΣ ΤΗΣ ΓΛΩΣΣΑΣ Ή ΕΔΑΦΟΥΣ ΤΟΥ ΣΤΟΜΑΤΟΣ; ΜΑΣΗΤΗΡΙΟΣ ΧΩΡΟΣ"
X661979;ΤΟΜΗ ΤΟΥ ΓΛΩΣΣΙΚΟΥ ΧΑΛΙΝΟΥ (ΧΑΛΙΝΟΤΟΜΗ)
X661989;"ΕΞΩΣΤΟΜΑΤΙΚΗ ΕΝΤΟΜΗ ΚΑΙ ΠΑΡΟΧΕΤΕΥΣΗ ΑΠΟΣΤΗΜΑΤΟΣ, ΚΥΣΤΗΣ, Ή ΑΙΜΑΤΩΜΑΤΟΣ ΤΟΥ ΕΔΑΦΟΥΣ ΤΟΥ ΣΤΟΜΑΤΟΣ; ΥΠΟΓΛΩΣΣΙΑ"
X661991;"ΕΞΩΣΤΟΜΑΤΙΚΗ ΕΝΤΟΜΗ ΚΑΙ ΠΑΡΟΧΕΤΕΥΣΗ ΑΠΟΣΤΗΜΑΤΟΣ, ΚΥΣΤΗΣ, Ή ΑΙΜΑΤΩΜΑΤΟΣ ΤΟΥ ΕΔΑΦΟΥΣ ΣΤΟΜΑΤΟΣ; ΥΠΟΓΕΝΕΙΔΙΑ"
X661993;"ΕΞΩΣΤΟΜΑΤΙΚΗ ΕΝΤΟΜΗ ΚΑΙ ΠΑΡΟΧΕΤΕΥΣΗ ΑΠΟΣΤΗΜΑΤΟΣ, ΚΥΣΤΗΣ, Ή ΑΙΜΑΤΩΜΑΤΟΣ ΤΟΥ ΕΔΑΦΟΥΣ ΤΟΥ ΣΤΟΜΑΤΟΣ; ΥΠΟΓΝΑΘΙΑ"
X661995;"ΕΞΩΣΤΟΜΑΤΙΚΗ ΕΝΤΟΜΗ ΚΑΙ ΠΑΡΟΧΕΤΕΥΣΗ ΑΠΟΣΤΗΜΑΤΟΣ, ΚΥΣΤΗΣ, Ή ΑΙΜΑΤΩΜΑΤΟΣ ΤΟΥ ΕΔΑΦΟΥΣ ΤΟΥ ΣΤΟΜΑΤΟΣ; ΜΑΣΗΤΗΡΙΟΣ ΧΩΡΟΣ"
X661997;ΕΜΦΥΤΕΥΣΗ ΒΕΛΟΝΩΝ Η ΚΑΘΕΤΗΡΩΝ, Η ΑΛΛΩΝ ΣΥΣΚΕΥΩΝ ΣΤΟ ΚΕΦΑΛΙ Ή/ΚΑΙ ΣΤΗΝ ΠΕΡΙΟΧΗ ΤΗΣ ΚΕΦΑΛΗΣ ΚΑΙ ΤΡΑΧΗΛΟΥ (ΔΙΑΔΕΡΜΙΚΗ, ΔΙΑΣΤΟΜΑΤΙΚΗ, Ή ΔΙΑΡΙΝΙΚΗ) ΓΙΑ ΕΦΑΡΜΟΓΗ ΕΝΔΟΪΣΤΙΚΗΣ ΒΡΑΧΥΘΕΡΑΠΕΙΑΣ
X662159;"ΒΙΟΨΙΑ ΤΗΣ ΓΛΩΣΣΑΣ; ΠΡΟΣΘΙΑ ΔΥΟ ΤΡΙΤΑ"
X662169;"ΒΙΟΨΙΑ ΤΗΣ ΓΛΩΣΣΑΣ; ΟΠΙΣΘΙΟ ΕΝΑ ΤΡΙΤΟ"
X662175;ΒΙΟΨΙΑ ΤΟΥ ΕΔΑΦΟΥΣ ΤΟΥ ΣΤΟΜΑΤΟΣ
X662179;ΕΚΤΟΜΗ ΒΛΑΒΗΣ ΤΗΣ ΓΛΩΣΣΑΣ ΧΩΡΙΣ ΣΥΡΡΑΦΗ
X662183;ΕΚΤΟΜΗ ΒΛΑΒΗΣ ΤΗΣ ΓΛΩΣΣΑΣ ΜΕ ΣΥΡΡΑΦΗ. ΠΡΟΣΘΙΑ ΔΥΟ ΤΡΙΤΑ
X662185;ΕΚΤΟΜΗ ΒΛΑΒΗΣ ΤΗΣ ΓΛΩΣΣΑΣ ΜΕ ΣΥΡΡΑΦΗ. ΟΠΙΣΘΙΟ ΈΝΑ ΤΡΙΤΟ
X662187;ΕΚΤΟΜΗ ΒΛΑΒΗΣ ΤΗΣ ΓΛΩΣΣΑΣ ΜΕ ΣΥΡΡΑΦΗ. ΜΕ ΤΟΠΙΚΟ ΚΡΗΜΝΟ ΓΛΩΣΣΑΣ
X662189;ΕΚΤΟΜΗ ΤΟΥ ΧΑΛΙΝΟΥ ΤΗΣ ΓΛΩΣΣΑΣ (ΧΑΛΙΝΕΚΤΟΜΗ)
X662191;ΕΚΤΟΜΗ, ΒΛΑΒΗ ΤΟΥ ΕΔΑΦΟΥΣ ΤΟΥ ΣΤΟΜΑΤΟΣ
X662199;ΓΛΩΣΣΕΚΤΟΜΗ, ΛΙΓΟΤΕΡΟ ΑΠΟ ΤΟ ΗΜΙΣΥ ΤΗΣ ΓΛΩΣΣΑΣ
X662219;"ΓΛΩΣΣΕΚΤΟΜΗ; ΗΜΙΓΛΩΣΣΕΚΤΟΜΗ"
X662229;"ΓΛΩΣΣΕΚΤΟΜΗ; ΜΕΡΙΚΗ, ΜΕ ΕΤΕΡΟΠΛΕΥΡΟ ΡΙΖΙΚΟ ΛΕΜΦΑΔΕΝΙΚΟ ΚΑΘΑΡΙΣΜΟ ΤΡΑΧΗΛΟΥ"
X662239;ΓΛΩΣΣΕΚΤΟΜΗ, ΠΛΗΡΗΣ Ή ΟΛΙΚΗ, ΜΕ Ή ΧΩΡΙΣ ΤΡΑΧΕΙΟΣΤΟΜΙΑ, ΧΩΡΙΣ ΡΙΖΙΚΟ ΛΕΜΦΑΔΕΝΙΚΟ ΚΑΘΑΡΙΣΜΟ ΤΡΑΧΗΛΟΥ
X662249;ΓΛΩΣΣΕΚΤΟΜΗ, ΠΛΗΡΗΣ Ή ΟΛΙΚΗ, ΜΕ Ή ΧΩΡΙΣ ΤΡΑΧΕΙΟΣΤΟΜΙΑ, ΜΕ ΕΤΕΡΟΠΛΕΥΡΟ ΡΙΖΙΚΟ ΛΕΜΦΑΔΕΝΙΚΟ ΚΑΘΑΡΙΣΜΟ ΤΡΑΧΗΛΟΥ
X662259;ΓΛΩΣΣΕΚΤΟΜΗ, ΣΥΝΘΕΤΗ ΕΠΕΜΒΑΣΗ ΜΕ ΕΚΤΟΜΗ ΕΔΑΦΟΥΣ ΤΟΥ ΣΤΟΜΑΤΟΣ ΚΑΙ ΓΝΑΘΟΥ, ΧΩΡΙΣ ΡΙΖΙΚΟ ΛΕΜΦΑΔΕΝΙΚΟ ΚΑΘΑΡΙΣΜΟ ΤΡΑΧΗΛΟΥ
X662265;ΓΛΩΣΣΕΚΤΟΜΗ, ΣΥΝΘΕΤΗ ΕΠΕΜΒΑΣΗ ΜΕ ΕΚΤΟΜΗ ΕΔΑΦΟΥΣ ΤΟΥ ΣΤΟΜΑΤΟΣ, ΜΕ ΥΠΕΡΥΟΕΙΔΗ ΛΕΜΦΑΔΕΝΙΚΟ ΚΑΘΑΡΙΣΜΟ ΤΡΑΧΗΛΟΥ
X662269;"ΓΛΩΣΣΕΚΤΟΜΗ; ΣΥΝΘΕΤΗ ΕΠΕΜΒΑΣΗ ΜΕ ΕΚΤΟΜΗ ΕΔΑΦΟΥΣ ΣΤΟΜΑΤΟΣ ΚΑΙ ΓΝΑΘΟΥ, ΚΑΙ ΡΙΖΙΚΟ ΛΕΜΦΑΔΕΝΙΚΟ ΚΑΘΑΡΙΣΜΟ ΤΡΑΧΗΛΟΥ (ΤΥΠΟΣ COMMANDO)"
X662459;ΑΠΟΚΑΤΑΣΤΑΣΗ ΠΛΗΓΗΣ 2,5 ΕΚ. Ή ΛΙΓΟΤΕΡΟ, ΕΔΑΦΟΣ ΣΤΟΜΑΤΟΣ ΚΑΙ/Ή ΠΡΟΣΘΙΑ ΔΥΟ ΤΡΙΤΑ ΤΗΣ ΓΛΩΣΣΑΣ
X662461;ΣΥΡΡΑΦΗ ΔΙΑΡΡΗΞΗΣ 2,5 ΕΚ. Ή ΛΙΓΟΤΕΡΟ, ΟΠΙΣΘΙΟ ΕΝΑ ΤΡΙΤΟ ΤΗΣ ΓΛΩΣΣΑΣ
X662463;ΣΥΡΡΑΦΗ ΔΙΑΡΡΗΞΗΣ  ΓΛΩΣΣΑΣ, ΕΔΑΦΟΥΣ ΤΟΥ ΣΤΟΜΑΤΟΣ, ΜΕΓΑΛΥΤΕΡΗ ΤΩΝ 2,6 ΕΚ. Ή ΣΥΝΘΕΤΗ
X662959;ΚΑΘΗΛΩΣΗ  ΓΛΩΣΣΑΣ, ΜΗΧΑΝΙΚΗ, ΜΕ ΑΛΛΗ ΔΙΑΔΙΚΑΣΙΑ ΕΚΤΟΣ ΤΗΣ ΣΥΡΡΑΦΗΣ (Π.Χ., ΜΕΤΑΛΛΙΚΟ ΣΥΡΜΑ ΤΟΥ KIRSCHNER)
X662979;ΣΥΡΡΑΦΗ ΤΗΣ ΓΛΩΣΣΑΣ ΣΤΟ ΧΕΙΛΟΣ ΓΙΑ ΜΙΚΡΟΓΝΑΘΙΑ (ΕΠΕΜΒΑΣΗ ΤΥΠΟΥ DOUGLAS)
X662983;ΑΝΑΡΤΗΣΗ ΤΗΣ ΒΑΣΗΣ ΤΗΣ ΓΛΩΣΣΑΣ, ΤΕΧΝΙΚΗ ΜΟΝΙΜΗΣ ΣΥΡΡΑΦΗΣ
X662999;ΧΑΛΙΝΟΠΛΑΣΤΙΚΗ (ΧΕΙΡΟΥΡΓΙΚΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΤΟΥ ΧΑΛΙΝΟΥ, Π.Χ., ΜΕ ΠΛΑΣΤΙΚΗ ΤΥΠΟΥ Ζ)
X663019;ΥΠΟΒΛΕΝΝΟΓΟΝΙΑ ΑΠΟΚΟΛΛΗΣΗ ΤΗΣ ΒΑΣΗΣ ΤΗΣ ΓΛΩΣΣΑΣ, ΡΑΔΙΟΣΥΧΝΟΤΗΤΑ, ΜΙΑ Ή ΠΕΡΙΣΣΟΤΕΡΕΣ  ΘΕΣΕΙΣ, ΑΝΑ ΣΥΝΕΔΡΙΑ
X663157;ΜΗ ΚΑΤΑΓΕΓΡΑΜΜΕΝΗ ΔΙΑΔΙΚΑΣΙΑ, ΓΛΩΣΣΑ, ΕΔΑΦΟΣ ΤΟΥ ΣΤΟΜΑΤΟΣ
X663559;ΠΑΡΟΧΕΤΕΥΣΗ ΑΠΟΣΤΗΜΑΤΟΣ, ΚΥΣΤΗΣ, ΑΙΜΑΤΩΜΑΤΟΣ ΑΠΟ ΟΔΟΝΤΟΦΑΝΤΙΑΚΕΣ ΔΟΜΕΣ
X663569;ΑΦΑΙΡΕΣΗ ΕΓΚΛΕΙΣΜΕΝΟΥ ΞΕΝΟΥ ΣΩΜΑΤΟΣ ΑΠΟ ΟΔΟΝΤΟΦΑΤΝΙΑΚΕΣ ΔΟΜΕΣ, ΜΑΛΑΚΟΙ ΙΣΤΟΙ
X663571;ΑΦΑΙΡΕΣΗ ΕΓΚΛΕΙΣΜΕΝΟΥ ΞΕΝΟΥ ΣΩΜΑΤΟΣ ΑΠΟ ΟΔΟΝΤΟΦΑΤΝΙΑΚΕΣ ΔΟΜΕΣ, ΟΥΛΕΚΤΟΜΗ
X663599;ΟΣΤΩΝ, ΕΚΤΟΜΗ ΟΥΛΩΝ, ΚΑΘΕ ΤΕΤΑΡΤΗΜΟΡΙΟ
X663601;ΕΠΙΠΩΜΑΤΕΚΤΟΜΗ, ΕΚΤΟΜΗ ΠΕΡΙΣΤΕΦΑΝΙΑΙΩΝ ΙΣΤΩΝ
X663603;ΕΚΤΟΜΗ ΙΝΩΔΩΝ ΟΓΚΩΜΑΤΩΝ, ΟΔΟΝΤΟΦΑΤΝΙΑΚΕΣ ΔΟΜΕΣ
X663605;ΕΚΤΟΜΗ ΟΣΤΕΩΔΩΝ ΟΓΚΩΜΑΤΩΝ, ΟΔΟΝΤΟΦΑΤΝΙΑΚΕΣ ΔΟΜΕΣ
X663609;ΕΚΤΟΜΗ ΒΛΑΒΗΣ Ή ΟΓΚΟΥ (ΕΚΤΟΣ ΤΩΝ ΚΑΤΑΓΕΓΡΑΜΜΕΝΩΝ ΑΝΩΘΕΝ), ΟΔΟΝΤΟΦΑΤΝΙΑΚΕΣ  ΔΟΜΕΣ, ΧΩΡΙΣ ΑΠΟΚΑΤΑΣΤΑΣΗ
X663611;ΕΚΤΟΜΗ ΒΛΑΒΗΣ Ή ΟΓΚΟΥ (ΕΚΤΟΣ ΤΩΝ ΚΑΤΑΓΕΓΡΑΜΜΕΝΩΝ ΑΝΩΘΕΝ), ΟΔΟΝΤΟΦΑΤΝΙΑΚΕΣ  ΔΟΜΕΣ, ΜΕ ΑΠΛΗ ΑΠΟΚΑΤΑΣΤΑΣΗ
