K500001;ΜΥΕΛΟΓΡΑΦΙΑ
B309101;ΒΙΤΑΜΙΝΗ Κ
B309107;ΠΤΗΤΙΚΑ (Π.Χ. ΟΞΙΚΟΣ ΑΝΥΔΡΙΤΗΣ, ΤΕΤΡΑΧΛΩΡΙΔΙΟ ΤΟΥ ΑΝΘΡΑΚΑ, ΔΙΧΛΩΡΟΑΙΘΑΝΙΟ ΔΙΧΛΩΡΟΜΕΘΑΝΙΟ, ΔΙΑΙΘΥΛΑΙΘΕΡΑΣ, ΙΣΟΠΡΟΠΥΛΙΚΗ ΑΛΚΟΟΛΗ, ΜΕΘΑΝΟΛΗ)
B309147;ΔΟΚΙΜΑΣΙΑ ΑΠΟΡΡΟΦΗΣΗΣ ΞΥΛΟΖΗΣ, ΑΙΜΑ ΚΑΙ/Ή ΟΥΡΑ
B309167;ΨΕΥΔΑΡΓΥΡΟΣ
B309269;C-ΠΕΠΤΙΔΙΟ
B309311;ΓΟΝΑΔΟΤΡΟΠΙΝΗ, ΧΟΡΙΟΝΙΚΗ (HCG), ΠΟΣΟΤΙΚΗ Β-ΥΠΟΜΟΝΑΔΑ
B309313;ΓΟΝΑΔΟΤΡΟΠΙΝΗ, ΧΟΡΙΟΝΙΚΗ (HCG), ΠΟΙΟΤΙΚΗ Β-ΥΠΟΜΟΝΑΔΑ
B309315;ΓΟΝΑΔΟΤΡΟΠΙΝΗ, ΧΟΡΙΟΝΙΚΗ (FBHCG), ΕΛΕΥΘΕΡΗ ΒΗΤΑ ΑΛΥΣΙΔΑ
B309567;ΔΟΚΙΜΑΣΙΕΣ ΩΟΡΡΗΞΙΑΣ, ΜΕΣΩ ΟΠΤΙΚΩΝ ΧΡΩΜΑΤΙΚΩΝ ΜΕΘΟΔΩΝ ΓΙΑ ΤΗΝ ΑΝΘΡΩΠΙΝΗ ΩΧΡΙΝΟΤΡΟΠΟ ΟΡΜΟΝΗ
B309905;ΜΗ ΚΑΤΑΓΕΓΡΑΜΜΕΝΗ ΧΗΜΙΚΗ ΔΟΚΙΜΑΣΙΑ
B309905.1;IGF-II (ΙΝΣΟΥΛΙΝΟΜΟΡΦΟΣ ΠΑΡΑΓΟΝΤΑΣ ΙΙ)
B309905.2;IGFBP-III
B309905.3;ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΤΗΣ ΘΥΡΕΟΕΙΔΙΚΗΣ ΥΠΕΡΟΞΕΙΔΑΣΗΣ (ANTI-TPO)
B309911;ΧΡΟΝΟΣ ΡΟΗΣ IVY
B309915;ΓΕΝΙΚΗ ΑΙΜΑΤΟΣ ( ΑΥΤΟΜΑΤΟΠΟΙΗΜΕΝΗ )
B309921;ΓΕΝΙΚΗ ΑΙΜΑΤΟΣ + ΕΠΙΧΡΙΣΜΑ ΠΕΡΙΦ.ΑΙΜΑΤΟΣ
B309923;ΑΝΕΝΕΡΓΟΣ
B309925;ΑΝΕΝΕΡΓΟΣ
B309933;ΜΙΚΡΟΑΙΜΑΤΟΚΡΙΤΗΣ
B309935;ΑΝΕΝΕΡΓΟΣ
B309943;ΜΕΤΡΗΣΗ ΑΙΜΟΣΦΑΙΡΙΝΗΣ (HGB), ΑΥΤΟΜΑΤΟΠΟΙΗΜΕΝΗ ΜΕΘΟΔΟΣ
B309957;ΓΕΝΙΚΗ ΑΙΜΑΤΟΣ (ΑΥΤΟΜΑΤΟΠΟΙΗΜΕΝΗ ΜΕΤΡΗΣΗ HGB, HCT, RBC, WBC, PLT  ΚΑΙ ΑΥΤΟΜΑΤΟΠΟΙΗΜΕΝΗ ΜΕΤΡΗΣΗ ΛΕΥΚΟΚΥΤΤΑΡΙΚΟΥ ΤΥΠΟΥ)
B309961;ΑΝΕΝΕΡΓΟΣ
B309971;ΑΝΕΝΕΡΓΟΣ
B309989;ΑΝΕΝΕΡΓΟΣ
B309995;ΜΕΤΡΗΣΗ ΔΙΚΤΥΟΕΡΥΘΡΟΚΥΤΤΑΡΩΝ ΜΕ ΧΕΙΡΩΝΑΚΤΙΚΗ ΜΕΘΟΔΟΣ
B309997;ΜΕΤΡΗΣΗ ΔΙΚΤΥΟΕΡΥΘΡΟΚΥΤΤΑΡΩΝ ΜΕ ΑΥΤΟΜΑΤΟΠΟΙΗΜΕΝΗ ΜΕΘΟΔΟ
B309999;ΜΕΤΡΗΣΗ ΔΙΚΤΥΟΕΡΥΘΡΟΚΥΤΤΑΡΩΝ ΜΕ ΑΥΤΟΜΑΤΟΠΟΙΗΜΕΝΗ ΜΕΘΟΔΟ ΚΑΙ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΔΙΚΤΥΟΕΡΥΘΡΟΚΥΤΤΑΡΙΚΩΝ ΠΑΡΑΜΕΤΡΩΝ
B310003;ΑΝΕΝΕΡΓΟΣ
B310005;ΑΝΕΝΕΡΓΟΣ
B310017;ΜΕΤΡΗΣΗ ΔΙΚΤΥΟΑΙΜΟΠΕΤΑΛΙΩΝ
B310027;ΕΚΤΙΜΗΣΗ ΕΠΙΧΡΙΣΜΑΤΟΣ ΠΕΡΙΦΕΡΙΚΟΥ ΑΙΜΑΤΟΣ
B310101;ΕΚΤΙΜΗΣΗ ΕΠΙΧΡΙΣΜΑΤΟΣ ΜΥΕΛΟΥ ΤΩΝ ΟΣΤΩΝ
B310167;ΑΝΕΝΕΡΓΟΣ
B310247;ΣΥΣΤΟΛΗ ΘΡΟΜΒΟΥ
B310257;ΧΡΟΝΟΣ ΛΥΣΗΣ ΘΡΟΜΒΟΥ ΟΛΙΚΟΥ ΑΙΜΑΤΟΣ
B310327;ΠΟΣΟΤΙΚΗ ΜΕΤΡΗΣΗ ΠΡΟΘΡΟΜΒΙΝΗΣ 
B310347;ΠΑΡΑΓΟΝΤΑΣ ΠΗΞΕΩΣ V (ΕΝΕΡΓΟΤΗΤΑ)
B310367;ΠΑΡΑΓΟΝΤΑΣ ΠΗΞΕΩΣ VII (ΕΝΕΡΓΟΤΗΤΑ)
B310387;ΠΑΡΑΓΟΝΤΑΣ ΠΗΞΕΩΣ VIΙΙ (ΕΝΕΡΓΟΤΗΤΑ)
B310395;ΠΑΡΑΓΟΝΤΑΣ ΠΗΞΕΩΣ  VWRCO(ΕΝΕΡΓΟΤΗΤΑ)
B310397;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΔΡΑΣΤΙΚΟΤΗΤΑΣ ΤΟΥ ΠΑΡΑΓΟΝΤΑ VW Η  ΣΥΜΠΑΡΑΓΟΝΤΑ ΤΗΣ ΡΙΣΤΟΣΕΤΙΝΗΣ (VWF: RICOF)
B310399;ΠΑΡΑΓΟΝΤΑΣ ΠΗΞΕΩΣ  VWRCO(ΑΝΤΙΓΟΝΟ)
B310401;ΑΝΑΛΥΣΗ ΠΟΛΥΜΕΡΩΝ ΤΟΥ ΠΑΡΑΓΟΝΤΑ vW(FvW)
B310407;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΔΡΑΣΤΗΚΟΤΗΤΑΣ ΠΑΡΑΓΟΝΤΑ IX (FIX)
B310427;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΔΡΑΣΤΗΚΟΤΗΤΑΣ ΠΑΡΑΓΟΝΤΑ X (FX)
B310447;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΠΑΡΑΓΟΝΤΑ XI (FXI)
B310467;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΠΑΡΑΓΟΝΤΑ XII (FXII)
B310487;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΠΑΡΑΓΟΝΤΑ XIII(FXII)
B310489;ΕΛΕΓΧΟΣ FXIII ΜΕ ΔΟΚΙΜΑΣΙΑ ΔΙΑΛΥΤΟΤΗΤΑΣ
B310491;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΠΡΟΚΑΛΙΚΡΕΪΝΗΣ
B310493;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΚΙΝΙΝΟΓΟΝΟΥ ΥΨΗΛΟΥ ΜΟΡΙΑΚΟΥ ΒΑΡΟΥΣ
B310507;ΑΝΤΙΘΡΟΜΒΙΝΗ III 
B310509;ΠΟΣΟΤΙΚΗ ΜΕΤΡΗΣΗ ΑΝΤΙΘΡΟΜΒΙΝΗΣ III 
B310511;ΠΡΩΤΕΪΝΗ C 
B310513;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΔΡΑΣΤΙΚΟΤΗΤΑΣ ΤΗΣ ΠΡΩΤΕΪΝΗΣ C
B310517;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΟΛΙΚΗΣ ΠΡΩΤΕΪΝΗΣ S
B310519;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΛΕΥΘΕΡΗΣ ΠΡΩΤΕΪΝΗΣ S
B310521;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΣΤΑΣΗΣ ΣΤΗΝ ΕΝΕΡΓΟΠΟΙΗΜΕΝΗ ΠΡΩΤΕΪΝΗ C (APC-R)
B310577;ΛΕΙΤΟΥΡΓΙΚΟΣ ΑΝΑΣΤΟΛΕΑΣ C1
B310581;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΘΡΟΜΒΟΜΟΝΤΟΥΛΙΝΗΣ
B310597;ΧΡΟΝΟΣ ΠΗΞΗΣ ΟΛΙΚΟΥ ΑΙΜΑΤΟΣ ΚΑΤΑ LEE-WHITE
B310601;ΑΡΤΤ
B310603;ΑΡΤΤ ευαίσθητο στο αντιπηκτικό λύκου
B310627;ΧΡΟΝΟΣ ΛΥΣΗΣ ΕΥΣΦΑΙΡΙΝΩΝ
B310631;ΠΡΟΪΟΝΤΑ ΑΠΟΔΟΜΗΣΗΣ ΙΝΩΔΟΥΣ/ΙΝΩΔΟΓΟΝΟΥ (FDP), ΣΥΓΚΟΛΛΗΤΙΝΟΑΝΤΙΔΡΑΣΗ ΗΜΙΠΟΣΟΤΙΚΗ ΜΕΘΟΔΟΣ
B310639;ΑΝΕΝΕΡΓΟΣ
B310647;ΠΟΣΟΤΙΚΗ ΜΕΤΡΗΣΗ ΙΝΩΔΟΝΕΚΤΙΝΗΣ
B310663;D-DIMER (ΠΡΟΪΟΝΤΑ ΑΠΟΔΟΜΗΣΗΣ ΙΝΩΔΟΥΣ), ΗΜΙΠΟΣΟΤΙΚΗ ΜΕΘΟΔΟΣ 
B310665;D-DIMER (ΠΡΟΪΟΝΤΑ ΑΠΟΔΟΜΗΣΗΣ ΙΝΩΔΟΥΣ), ΠΟΣΟΤΙΚΗ ΜΕΘΟΔΟΣ 
B310667;D-DIMER (ΠΡΟΪΟΝΤΑ ΑΠΟΔΟΜΗΣΗΣ ΙΝΩΔΟΥΣ), ΥΠΕΡΕΥΑΙΣΘΗΤΑ ΓΙΑ ΤΗΝ ΑΞΙΟΛΟΓΗΣΗ ΦΛΕΒΙΚΗΣ ΘΡΟΜΒΟΕΜΒΟΛΙΚΗΣ ΝΟΣΟΥ
B310675;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΙΝΩΔΟΓΟΝΟΥ 
B310677;ΠΟΣΟΤΙΚΗ ΜΕΤΡΗΣΗ ΙΝΩΔΟΓΩΝΟΥ
B310687;ΔΙΑΛΥΤΑ ΜΟΝΟΜΕΡΗ ΙΝΩΔΟΥΣ ( FS )
B310699;THROMBOELASTOGRAPHY
B310701;ADAMTS13 ( ELISA)
B310707;PAI-1 ΑΝΤΙΓΌΝΟ
B310727;Α2 ΑΝΤΙΠΛΑΣΜΙΝΗ
B310737;ΡΑΙ-1 ΕΝΕΡΓΟΤΗΤΑ
B310747;ΠΛΑΣΜΙΝΟΓΟΝΟ ΕΝΕΡΓΟΤΗΤΑ
B310749;ΠΟΣΟΤΙΚΗ ΜΕΤΡΗΣΗ ΠΛΑΣΜΙΝΟΓΟΝΟΥ 
B310789;ΔΟΚΙΜΑΣΙΑ ΓΙΑ ΣΩΜΑΤΑ HEINZ, ΑΜΕΣΗ ΧΡΩΣΗ
B310797;ΔΟΚΙΜΑΣΙΑ ΓΙΑ ΣΩΜΑΤΑ HEINZ, ΕΠΑΓΩΜΕΝΗ ΧΡΩΣΗ ΜΕ ΑΚΕΤΥΛΟΦΑΙΝΥΛΥΔΡΑΖΙΝΗ
B310827;ΑΝΙΧΝΕΥΣΗ ΕΜΒΡΥΪΚΗΣ ΑΙΜΟΣΦΑΙΡΙΝΗΣ Ή ΑΡΙΘΜΙΣΗ ΕΜΒΡΥΪΚΩΝ ΕΡΥΘΡΟΚΥΤΤΑΡΩΝ ΓΙΑ ΤΗΝ ΕΚΤΙΜΗΣΗ ΤΗΣ ΕΜΒΡΥΟΜΗΤΡΙΚΗΣ ΑΙΜΟΡΡΑΓΙΑΣ, (ΔΙΑΦΟΡΙΚΗ ΛΥΣΗ κατά KLEIHAUER-BETKE)
B310829;ΑΝΙΧΝΕΥΣΗ ΕΜΒΡΥΪΚΗΣ ΑΙΜΟΣΦΑΙΡΙΝΗΣ Ή ΑΡΙΘΜΙΣΗ ΕΜΒΡΥΪΚΩΝ ΕΡΥΘΡΟΚΥΤΤΑΡΩΝ ΓΙΑ ΤΗΝ ΕΚΤΙΜΗΣΗ ΤΗΣ ΕΜΒΡΥΟΜΗΤΡΙΚΗΣ ΑΙΜΟΡΡΑΓΙΑΣ, ROSETTE
B310857;TEST ΟΞΙΝΟΥ ΑΙΜΟΛΥΣΕΩΣ (TEST HAM )
B310947;ΤΙΤΛΟΠΟΙΗΣΗ ΗΠΑΡΙΝΗΣ
B310957;ΑΝΕΝΕΡΓΟΣ
B310967;ΑΝΕΝΕΡΓΟΣ
B310979;ΑΝΕΝΕΡΓΟΣ
B310987;ΑΛΚΑΛΙΚΗ ΦΩΣΦΑΤΑΣΗ ΛΕΥΚΩΝ ΑΙΜΟΣΦΑΙΡΙΩΝ (χρώση)
B311001;ΑΝΕΝΕΡΓΟΣ
B311005;ΑΝΕΝΕΡΓΟΣ
B311017;ΩΣΜΩΤΙΚΗ ΑΝΤΙΣΤΑΣΗ ΕΡΥΘΡΟΚΥΤΤΑΡΩΝ ΧΩΡΙΣ ΕΠΩΑΣΗ
B311021;ΩΣΜΩΤΙΚΗ ΑΝΤΙΣΤΑΣΗ ΕΡΥΘΡΟΚΥΤΤΑΡΩΝ ΜΕ ΕΠΩΑΣΗ
B311059;ΕΛΕΓΧΟΣ ΤΗΣ ΣΥΣΣΩΡΕΥΣΗΣ ΤΩΝ ΑΙΜΟΠΕΤΑΛΙΩΝ (AGGREGATION) ΜΕ ΜΕΘΟΔΟ ΘΟΛΩΣΙΜΕΤΡΙΑΣ ΜΕ ΔΙΑΦΟΡΕΣ ΕΠΑΓΩΓΙΚΕΣ ΟΥΣΙΕΣ (ADP, ΚΟΛΛΑΓΟΝΟ, ΕΠΙΝΕΦΡΙΝΗ, ΑΡΑΧΙΔΟΝΙΚΟ ΟΞΥ, ΡΙΣΤΟΣΕΤΙΝΗ, ΑΔΡΕΝΑΛΙΝΗ)
B311101;ΑΝΕΝΕΡΓΟΣ
B311127;ΧΡΟΝΟΣ ΠΡΟΘΡΟΜΒΙΝΗΣ-INR (PT-INR)
B311129;ΑΝΕΝΕΡΓΟΣ
B311131;LA SCREENING
B311133;LA ΕΠΙΒΕΒΑΙΩΤΙΚΟ
B311177;ΧΡΟΝΟΣ ΡΕΠΤΙΛΑΣΗΣ
B311209;ΤΑΧΥΤΗΤΑ ΚΑΘΙΖΗΣΗΣ ΕΡΥΘΡΟΚΥΤΤΑΡΩΝ ΜΗ ΑΥΤΟΜΑΤΟΠΟΙΗΜΕΝΗ
B311211;ΤΑΧΥΤΗΤΑ ΚΑΘΙΖΗΣΗΣ ΕΡΥΘΡΟΚΥΤΤΑΡΩΝ ΑΥΤΟΜΑΤΟΠΟΙΗΜΕΝΗ
B311227;ΔΟΚΙΜΑΣΙΑ ΔΡΕΠΑΝΩΣΕΩΣ ΕΡΥΘΡΟΚΥΤΤΑΡΩΝ  ( TEST ΔΙΑΛΥΤΟΤΗΤΑΣ)
B311247;ΧΡΟΝΟΣ ΘΡΟΜΒΙΝΗΣ
B311257;ΑΝΕΝΕΡΓΟΣ
B311317;ΑΝΕΝΕΡΓΟΣ
B311367;ΧΡΟΝΟΣ ΕΝΕΡΓΟΠΟΙΗΜΕΝΗΣ ΜΕΡΙΚΗΣ ΘΡΟΜΒΟΠΛΑΣΤΙΝΗΣ (aPTT)
B311371;ΑΝΕΝΕΡΓΟΣ
B311527;ΑΝΕΝΕΡΓΟΣ
B311905;ΜΗ ΚΑΤΑΓΕΓΡΑΜΕΝΗ ΑΙΜΑΤΟΛΟΓΙΚΗ ΔΙΑΔΙΚΑΣΙΑ ΚΑΙ ΔΙΑΔΙΚΑΣΙΑ ΠΗΞΗΣ
B311905.1;ΠΑΡΑΓΟΝΤΑΣ ΠΗΞΕΩΣ ΙΙ ΑΝΤΙΓΟΝΟ ( ELISA)
B311905.2;ΠΑΡΑΓΟΝΤΑΣ ΠΗΞΕΩΣ V ΑΝΤΙΓΟΝΟ ( ELISA)
B311905.3;ΠΑΡΑΓΟΝΤΑΣ ΠΗΞΕΩΣ VII ΑΝΤΙΓΟΝΟ ( ELISA)
B311905.4;ΠΑΡΑΓΟΝΤΑΣ ΠΗΞΕΩΣ VIΙΙ ΑΝΤΙΓΟΝΟ ( ELISA)
B311905.5;TFPI
B311905.6;TAFI
B311905.7;ΠΑΡΑΓΟΝΤΑΣ ΠΗΞΕΩΣ  VW ΗΛΕΚΤΡΟΦΟΡΗΣΗ 
B311905.8;ΠΑΡΑΓΟΝΤΑΣ ΠΗΞΕΩΣ ΙΧ ΑΝΤΙΓΟΝΟ ( ELISA)
B311905.9;ΠΑΡΑΓΟΝΤΑΣ ΠΗΞΕΩΣ Χ ΑΝΤΙΓΟΝΟ ( ELISA)
B311905.10;ΠΑΡΑΓΟΝΤΑΣ ΠΗΞΕΩΣ ΧΙ ΑΝΤΙΓΟΝΟ ( ELISA)
B311905.11;ΠΑΡΑΓΟΝΤΑΣ ΠΗΞΕΩΣ ΧΙΙ ΑΝΤΙΓΟΝΟ ( ELISA)
B311905.12;ΠΑΡΑΓΟΝΤΑΣ ΠΗΞΕΩΣ ΧΙΙΙ ΑΝΤΙΓΟΝΟ ( ELISA)
B311905.13;ΠΑΡΑΓΟΝΤΑΣ ΠΗΞΕΩΣ ΧΙΙΙ ΑΝΤΙΓΟΝΟ ( ΧΡΩΜΟΓΟΝΟΣ)
B311905.14;ΗΛΕΚΤΡΟΦΟΡΗΣΗ HB
B311905.15;ΜΟΡΙΑΚΗ ΑΝΑΛΥΣΗ ΑΙΜΟΣΦΑΙΡΙΝΟΠΑΘΕΙΩΝ
B311905.16;G-6-PD( ΑΦΥΔΡΟΓΟΝΑΣΗ 6 ΦΩΣΦΟΡΙΚΗ ΓΛΥΚΟΖΗ)
B311905.17;ΦΕΡΡΙΤΙΝΗ
B311905.18;Β12
B311905.19;ΦΥΛΛΙΚΟ ΟΡΟΥ
B311905.20;ΦΥΛΛΙΚΟ ΕΡΥΘΡΩΝ
B311905.21;ΣΙΔΗΡΟΣ( FE)
B311905.22;TIBC
B311905.23;ΤΡΑΝΣΦΕΡΡΙΝΗ
B311905.24;ΑΠΤΟΣΦΑΙΡΙΝΕΣ
Β311905.25;ΕΠΣΙΔΙΝΗ
Β311905.26;STFR
Β311905.27;ΕΡΥΘΡΟΠΟΙΗΤΙΝΗ
Β311905.28;ΜΥΕΛΟΥΠΕΡΟΞΕΙΔΑΣΗ ΛΕΥΚΩΝ ( ΧΡΩΣΗ)
Β311905.29;ΟΞΙΝΗ ΦΩΣΦΑΤΑΣΗ ΑΝΘΕΚΤΙΚΗ ΣΤΟ ΤΡΥΓΙΚΟ  ( ΧΡΩΣΗ)
Β311905.30;ΜΗ ΕΙΔΙΚΗ ΕΣΤΕΡΑΣΗ( ΧΡΩΣΗ)
Β311905.31;ΧΛΩΡΟΟΞΕΙΚΗ ΕΣΤΕΡΑΣΗ( ΧΡΩΣΗ)
Β311905.32;PAS( ΧΡΩΣΗ)
Β311905.33;TAT(ELISA)
Β311905.34;PAP(ELISA)
Β311905.35;ΜΟΡΙΑΚΟΣ ΕΛΕΓΧΟΣ F V LEIDEN 
Β311905.36;ΜΟΡΙΑΚΟΣ ΕΛΕΓΧΟΣ F II 20210
Β311905.37;ΜΟΡΙΑΚΟΣ ΕΛΕΓΧΟΣ MTHFR 
Β311905.38;ΜΟΡΙΑΚΟΣ ΕΛΕΓΧΟΣ PAI 4G/5G
Β311905.39;HIT (ELISA)
Β311905.40;ACA ( IGG,IGM,IGA) (ELISA)
Β311905.41;Β2GPI ( IGG,IGM,IGA) (ELISA)
Β311905.42;ANTI-PROTHROMBIN (ELISA)
Β311905.43;2,3-DPG (2,3-ΔΙΦΩΣΦΟΓΛΥΚΕΡΙΝΙΚΟ ΟΞΥ) 
Β311905.44;T-PA
Β311905.45;Β-ΘΡΟΜΒΟΣΦΑΙΡΙΝΗ
Β311905.46;ΘΡΟΜΒΟΠΟΙΗΤΙΝΗ
Β311905.47;ΛΕΙΤΟΥΡΓΙΚΟΤΗΤΑ ΑΙΜΟΠΕΤΑΛΙΩΝ (PFA-100)( ΚΟΛΛΑΓΌΝΟ,ΕΠΙΝΕΦΡΊΝΗ,P2Y12)
Β311905.48;ΛΕΙΤΟΥΡΓΙΚΟΣ ΕΛΕΓΧΟΣ  ΑΙΜΟΠΕΤΑΛΙΩΝ (MULTIPLATE ) ( 3 ΠΑΡΑΓΟΝΤΕΣ)
Β311905.49;ΠΟΣΟΤΙΚΟΠΟΙΗΣΗ  ΓΟΝΙΔΙΟΥ 
Β311905.50;SICAM-1 (INTERCELLULAR ADHESION MOLECULE)
Β311905.51;SVCAM-1 (VASCULAR CELLADHESION MOLECULE)
Β311905.52;MCP-1 (MONOCYTE CHEMOATTRACTANT PROTEIN--1)
Β311905.53;SE-SELECTIN
Β311905.54;SL-SELECTIN
Β311905.55;SP-SELECTIN
Β311905.56;IFN-Α ( ΙΝΤΕΡΦΕΡΟΝΗ)
Β311905.57;IFN-Γ( ΙΝΤΕΡΦΕΡΟΝΗ)
Β311905.58;IL-1Α (ΙΝΤΕΡΛΕΥΚΙΝΗ)
Β311905.59;IL-1Β(ΙΝΤΕΡΛΕΥΚΙΝΗ)
Β311905.60;IL-6(ΙΝΤΕΡΛΕΥΚΙΝΗ)
Β311905.61;IL-8(ΙΝΤΕΡΛΕΥΚΙΝΗ)
Β311905.62;IL-10(ΙΝΤΕΡΛΕΥΚΙΝΗ)
Β311905.63;MMP-9 ( ΜΕΤΑΛΛΟΠΡΩΤΕΪΝΑΣΗ )
Β311905.64;MMP-10 ( ΜΕΤΑΛΛΟΠΡΩΤΕΪΝΑΣΗ )
Β311905.65;TGF-Β1 ( TRANSFORMING GROWTH FACTOR)
Β311905.66;TNF-Α (TUMOR NECROSIS FACTOR)
Β311905.67;EPCR
Β311905.68;CD40-CD40L
Β311905.69;ΑΝΟΣΟΦΑΙΝΟΤΥΠΟΣ ΠΕΡΙΦΕΡΙΚΟΥ ΑΙΜΑΤΟΣ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ (ΑΝΑ ΕΠΙΦΑΝΕΙΑΚΟ ΔΕΙΚΤΗ)
Β311905.70;ΑΝΟΣΟΦΑΙΝΟΤΥΠΟΣ ΠΕΡΙΦΕΡΙΚΟΥ ΑΙΜΑΤΟΣ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ (ΑΝΑ ΕΝΔΟΚΥΤΤΑΡΙΟ ΔΕΙΚΤΗ)
Β311905.71; ΑΝΟΣΟΦΑΙΝΟΤΥΠΟΣ ΜΥΕΛΟΥ (ΑΝΑ ΕΠΙΦΑΝΕΙΑΚΟ ΔΕΙΚΤΗ)
Β311905.72; ΑΝΟΣΟΦΑΙΝΟΤΥΠΟΣ ΜΥΕΛΟΥ (ΑΝΑ ΕΝΔΟΚΥΤΤΑΡΙΟ ΔΕΙΚΤΗ)
Β311905.73; ΑΝΟΣΟΦΑΙΝΟΤΥΠΟΣ ΔΙΑΦΟΡΩΝ ΥΛΙΚΩΝ (ΑΝΑ ΕΠΙΦΑΝΕΙΑΚΟ ΔΕΙΚΤΗ)
Β311905.74;ΑΝΟΣΟΦΑΙΝΟΤΥΠΟΣ ΔΙΑΦΟΡΩΝ ΥΛΙΚΩΝ (ΑΝΑ ΕΝΔΟΚΥΤΤΑΡΙΟ ΔΕΙΚΤΗ)
Β311905.75;DNA ΑΝΑΛΥΣΗ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ
Β311905.76; ΈΛΕΓΧΟΣ ΑΠΟΠΤΩΣΗΣ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ (ΑΝΑ ΠΡΟΣΔΙΟΡΙΣΜΟ)
Β311905.77;ΜΕΤΡΗΣΗ ΑΡΧΕΓΟΝΩΝ ΑΙΜΟΠΟΙΗΤΙΚΩΝ ΚΥΤΤΑΡΩΝ CD34 ΣΕ ΠΕΡΙΦΕΡΙΚΟ ΑΙΜΑ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ
Β311905.78;ΜΕΤΡΗΣΗ ΑΡΧΕΓΟΝΩΝ ΑΙΜΟΠΟΙΗΤΙΚΩΝ ΚΥΤΤΑΡΩΝ CD34 ΣΕ ΠΡΟΪΟΝ ΛΕΥΚΑΦΑΙΡΕΣΗΣ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ
Β311905.79;ΜΕΤΡΗΣΗ ΑΠΟΛΥΤΩΝ ΤΙΜΩΝ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ (ΑΝΑ ΠΡΟΣΔΙΟΡΙΣΜΟ)
Β311905.80;ΜΕΤΡΗΣΗ ΔΙΑΦΟΡΩΝ ΥΛΙΚΩΝ ΜΕ ΧΡΗΣΗ ΜΙΚΡΟΣΦΑΙΡΙΔΙΩΝ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΚΗ ΜΕΘΟΔΟ (ΑΝΑ ΠΡΟΣΔΙΟΡΙΣΜΟ)  
Β311905.81;ΘΡΟΜΒΟΕΛΑΣΤΟΓΡΑΦΙΑ ΟΛΙΚΟΥ ΑΙΜΑΤΟΣ ΓΙΑ ΤΗΝ ΕΚΤΙΜΗΣΗ ΤΗΣ ΕΞΩΓΕΝΟΥΣ ΟΔΟΥ ΤΗΣ ΠΗΞΗΣ
Β311905.82;ΘΡΟΜΒΟΕΛΑΣΤΟΓΡΑΦΙΑ ΟΛΙΚΟΥ ΑΙΜΑΤΟΣ ΓΙΑ ΤΗΝ ΕΚΤΙΜΗΣΗ ΤΗΣ ΕΝΔΟΓΕΝΟΥΣ ΟΔΟΥ ΤΗΣ ΠΗΞΗΣ
Β311905.83;ΘΡΟΜΒΟΕΛΑΣΤΟΓΡΑΦΙΑ ΟΛΙΚΟΥ ΑΙΜΑΤΟΣ ΓΙΑ ΤΗΝ ΕΚΤΙΜΗΣΗ ΤΗΣ ΙΝΩΔΟΛΥΣΗΣ
Β311905.84;ΘΡΟΜΒΟΕΛΑΣΤΟΓΡΑΦΙΑ ΟΛΙΚΟΥ ΑΙΜΑΤΟΣ ΓΙΑ ΤΗΝ ΕΚΤΙΜΗΣΗ ΤΗΣ ΙΝΩΔΟΛΥΣΗΣ
